"Data Source","World Development Indicators",

"Last Updated Date","2021-03-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.49204731","14.66252804","17.25441742","18.86635017","21.38543892","24.44519043","28.73069572","30.36549568","35.54101563","37.25279617","38.31590271","39.65127182","43.10952377","46.1722908","45.72795105","49.59660339","39.06802368","","",
"Angola","AGO","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.54932785","13.03949547","14.42650986","16.91819191","23.35680199","22.97002602","21.40843201","26.35744286","29.36305046","18.61011124","18.70483398","21.97174454","21.52809525","30.65902901","35.38184357","36.40044022","33.49248505","39.01213074","32.2419281","","",
"Albania","ALB","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.69450378","51.75642395","57.48270035","68.05230713","82.44522858","86.80731201","89.6161499","124.43958282","116.99684906","87.84078979","90.89785004","104.57328033","107.68096161","120.56794739","131.07267761","83.48671722","84.37203217","100.58673859","122.56801605","","",
"Andorra","AND","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","197.37988281","198.84361267","219.13795471","286.53607178","338.49078369","361.88989258","381.40646362","422.54055786","414.39929199","372.34210205","348.35122681","362.77978516","344.902771","361.62988281","351.72772217","326.98638916","329.1394043","337.43286133","383.39691162","","",
"Arab World","ARB","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.7735498321574","41.7651039892454","42.1598328643592","40.1743145544708","43.7556812706499","48.0785321859235","53.960344778575","64.1219919639728","74.7456619198141","75.1609368144993","80.7385586009916","87.7072371775618","96.1602006426331","103.89303529897","105.711480151698","110.206050257186","111.804606790634","107.454218018257","102.696942292146","","",
"United Arab Emirates","ARE","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","173.80130005","117.23739624","240.57145691","243.40602112","272.01522827","275.27813721","289.52624512","309.75708008","327.56420898","208.81819153","235.92012024","242.87216187","234.93327332","261.43438721","282.83856201","246.48233032","248.69194031","188.37632751","230.73249817","","",
"Argentina","ARG","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","206.28262329","198.96925354","67.14091492","74.09567261","86.10636902","129.82177734","147.72799683","178.97018433","225.90315247","205.74421692","263.79318237","324.97229004","356.98678589","381.25186157","347.82034302","397.15023804","341.08404541","395.28475952","312.76916504","","",
"Armenia","ARM","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.20289803","16.41342354","44.86412811","51.03547287","51.66684341","60.64180756","77.23343658","100.50465393","190.24504089","186.17025757","230.72148132","259.23623657","264.30523682","328.37997437","334.65072632","297.92684937","288.27850342","342.15853882","355.88461304","","",
"American Samoa","ASM","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
